contestant_name,age,num_season,finish,gender,poc
Sonja Christopher,63,1,16,F,0
B.B. Andersen,64,1,15,M,0
Stacey Stillman,27,1,14,F,0
Ramona Gray,29,1,13,F,1
Dirk Been,23,1,12,M,0
Joel Klug,27,1,11,M,0
Gretchen Cordy,38,1,10,F,0
Greg Buis,24,1,9,M,0
Jenna Lewis,22,1,8,F,0
Gervase Peterson,30,1,7,M,1
Colleen Haskell,23,1,6,F,0
Sean Kenniff,30,1,5,M,0
Susan Hawk,38,1,4,F,0
Rudy Boesch,72,1,3,M,0
Kelly Wiglesworth,22,1,2,F,0
Richard Hatch,39,1,1,M,0
Debb Eaton,45,2,16,F,0
Kel Gleason,32,2,15,M,1
Maralyn Hershey,51,2,14,F,0
Mitchell Olson,23,2,13,M,0
Kimmi Kappenberg,28,2,12,F,0
Michael Skupin,38,2,11,M,0
Jeff Varner,34,2,10,M,0
Alicia Calaway,32,2,9,F,1
Jerri Manthey,30,2,8,F,0
Nick Brown,23,2,7,M,1
Amber Mariano,22,2,6,F,0
Rodger Bingham,53,2,5,M,0
Elisabeth Filarski,23,2,4,F,0
Keith Famie,40,2,3,M,0
Colby Donaldson,26,2,2,M,0
Tina Wesson,39,2,1,F,0
Diane Ogden,42,3,16,F,0
Jessie Camacho,27,3,15,F,1
Carl Bilancione,46,3,14,M,0
Linda Spencer,44,3,13,F,1
Silas Gaither,23,3,12,M,0
Lindsey Richter,27,3,11,F,0
Clarence Black,24,3,10,M,1
Kelly Goldsmith,22,3,9,F,0
Brandon Quinton,25,3,8,M,0
Frank Garrison,43,3,7,M,0
Kim Powers,29,3,6,F,0
Teresa Cooper,42,3,5,F,0
Tom Buchanan,46,3,4,M,0
Lex van den Berghe,38,3,3,M,0
Kim Johnson,57,3,2,F,0
Ethan Zohn,27,3,1,M,0
Peter Harkey,45,4,16,M,0
Patricia Jackson,49,4,15,F,0
Hunter Ellis,33,4,14,M,0
Sarah Jones,24,4,13,F,0
Gabriel Cade,23,4,12,M,0
Gina Crews,28,4,11,F,0
Rob Mariano,26,4,10,M,0
John Carroll,36,4,9,M,0
Zoe Zanidakis,35,4,8,F,0
Tammy Leitner,29,4,7,F,0
Robert DeCanio,38,4,6,M,0
Sean Rector,30,4,5,M,1
Paschal English,57,4,4,M,0
Kathy Vavrick-O'Brien,47,4,3,F,0
Neleh Dennis,21,4,2,F,0
Vecepia Towery,36,4,1,F,1
John Raymond,40,5,16,M,0
Tanya Vance,27,5,15,F,0
Jed Hildebrand,25,5,14,M,0
Ghandia Johnson,33,5,13,F,1
Stephanie Dill,29,5,12,F,0
Robb Zbacnik,23,5,11,M,0
Shii Ann Huang,28,5,10,F,1
Erin Collins,26,5,9,F,0
Ken Stafford,30,5,8,M,0
Penny Ramsey,27,5,7,F,0
Jake Billingsley,61,5,6,M,0
Ted Rogers Jr.,37,5,5,M,1
Helen Glover,47,5,4,F,0
Jan Gentry,53,5,3,F,0
Clay Jordan,46,5,2,M,0
Brian Heidik,34,5,1,M,0
Ryan Aiken,23,6,16,M,0
Janet Koth,47,6,15,F,0
Daniel Lue,27,6,14,M,1
JoAnna Ward,31,6,13,F,1
Jeanne Hebert,41,6,12,F,0
Shawna Mitchell,23,6,11,F,0
Roger Sexton,56,6,10,M,0
Dave Johnson,24,6,9,M,0
Deena Bennett,35,6,8,F,1
Alex Bell,32,6,7,M,0
Christy Smith,24,6,6,F,0
Heidi Strobel,24,6,5,F,0
Butch Lockley,50,6,4,M,0
Rob Cesternino,24,6,3,M,0
Matthew von Ertfelda,33,6,2,M,0
Jenna Morasca,21,6,1,F,0
Nicole Delma,24,7,16,F,0
Ryan Shoulders,23,7,15,M,0
Michelle Tesauro,22,7,14,F,0
Trish Dunn,42,7,13,F,0
Shawn Cohen,28,7,12,M,0
Osten Taylor,27,7,11,M,1
Andrew Savage,40,7,10,M,0
Ryan Opray,31,7,9,M,0
Rupert Boneham,39,7,8,M,0
Tijuana Bradley,27,7,7,F,1
Christa Hastie,24,7,6,F,0
Burton Roberts,31,7,5,M,0
Darrah Johnson,22,7,4,F,0
Jon Dalton,29,7,3,M,0
Lillian Morris,51,7,2,F,0
Sandra Diaz-Twine,29,7,1,F,1
Tina Wesson,42,8,18,F,0
Rudy Boesch,75,8,17,M,0
Jenna Morasca,22,8,16,F,0
Rob Cesternino,25,8,15,M,0
Richard Hatch,42,8,14,M,0
Susan Hawk,42,8,13,F,0
Colby Donaldson,29,8,12,M,0
Ethan Zohn,30,8,11,M,0
Jerri Manthey,33,8,10,F,0
Lex van den Berghe,40,8,9,M,0
Kathy Vavrick-O'Brien,49,8,8,F,0
Alicia Calaway,35,8,7,F,1
Shii Ann Huang,30,8,6,F,1
Tom Buchanan,48,8,5,M,0
Rupert Boneham,40,8,4,M,0
Jenna Lewis,26,8,3,F,0
Rob Mariano,28,8,2,M,0
Amber Mariano,25,8,1,F,0
Brook Geraghty,33,9,18,M,0
Dolly Neely,25,9,17,F,0
John Palyok,31,9,16,M,0
Mia Galeotalanza,30,9,15,F,0
Brady Finta,33,9,14,M,0
Travis Sampson,33,9,13,M,0
Lisa Keiffer,44,9,12,F,0
John Kenney,22,9,11,M,0
Rory Freeman,35,9,10,M,1
Lea Masters,40,9,9,M,0
Chad Crittenden,35,9,8,M,0
Leann Slaby,35,9,7,F,0
Ami Cusack,31,9,6,F,0
Julie Berry,23,9,5,F,0
Eliza Orlins,21,9,4,F,0
Scout Cloud Lee,59,9,3,F,0
Twila Tanner,41,9,2,F,0
Chris Daugherty,33,9,1,M,0
Jonathan Libby,23,10,20,M,0
Wanda Shirk,55,10,19,F,0
Jolanda Jones,39,10,18,F,1
Ashlee Ashby,22,10,17,F,0
Jeff Wilson,21,10,16,M,0
Kim Mullen,25,10,15,F,0
Willard Smith,57,10,14,M,0
Angie Jakusz,24,10,13,F,0
James Miller,33,10,12,M,0
Ibrehem Rahman,27,10,11,M,1
Bobby Jon Drinkard,27,10,10,M,0
Coby Archa,32,10,9,M,0
Janu Tornell,39,10,8,F,1
Stephenie LaGrossa,25,10,7,F,0
Gregg Carey,27,10,6,M,0
Caryn Groedel,46,10,5,F,0
Jennifer Lyon,32,10,4,F,0
Ian Rosenberger,23,10,3,M,0
Katie Gallagher,29,10,2,F,0
Tom Westman,41,10,1,M,0
Jim Lynch,63,11,18,M,0
Morgan McDevitt,21,11,17,F,0
Brianna Varela,21,11,16,F,1
Brooke Struck,26,11,15,F,0
Blake Towsley,24,11,14,M,0
Margaret Bobonich,43,11,13,F,0
Brian Corridan,22,11,12,M,0
Amy O'Hara,39,11,11,F,0
Brandon Bellinger,22,11,10,M,0
Bobby Jon Drinkard,27,11,9,M,0
Jamie Newton,24,11,8,M,0
Gary Hogeboom,46,11,7,M,0
Judd Sergeant,34,11,6,M,0
Cindy Hall,31,11,5,F,0
Lydia Morales,42,11,4,F,1
Rafe Judkins,22,11,3,M,0
Stephenie LaGrossa,25,11,2,F,0
Danni Boatwright,30,11,1,F,0
Tina Scheer,45,12,16,F,0
Melinda Hyder,32,12,15,F,0
Misty Giles,24,12,14,F,0
Ruth Marie Milliman,48,12,13,F,0
Bobby Mason,32,12,12,M,1
Dan Barry,52,12,11,M,0
Nick Stanbury,25,12,10,M,0
Austin Carty,24,12,9,M,0
Sally Schumann,27,12,8,F,0
Bruce Kanegai,58,12,7,M,1
Courtney Marit,31,12,6,F,0
Shane Powers,35,12,5,M,0
Cirie Fields,34,12,4,F,1
Terry Deitz,46,12,3,M,0
Danielle DiLorenzo,24,12,2,F,0
Aras Baskauskas,24,12,1,M,0
Sekou Bunch,46,13,20,M,1
Billy Garcia,36,13,19,M,1
Cecilia Mansilla,29,13,18,F,1
J.P. Calderon,30,13,17,M,1
Stephannie Favor,35,13,16,F,1
Cao Boi Bui,42,13,15,M,1
Cristina Coria,35,13,14,F,1
Jessica Smith,27,13,13,F,0
Brad Virata,27,13,12,M,1
Rebecca Borman,34,13,11,F,1
Jenny Guzon-Bae,36,13,10,F,1
Nate Gonzalez,26,13,9,M,1
Candice Cody,23,13,8,F,0
Jonathan Penner,44,13,7,M,0
Parvati Shallow,24,13,6,F,0
Adam Gentry,28,13,5,M,0
Sundra Oakley,31,13,4,F,1
Becky Lee,28,13,3,F,1
Ozzy Lusth,25,13,2,M,1
Yul Kwon,31,13,1,M,1
Jessica deBen,27,14,19,F,0
Erica Durousseau,27,14,18,F,1
Sylvia Kwan,52,14,17,F,1
Gary Stritesky,55,14,16,M,0
Liliana Gomez,25,14,15,F,1
Rita Verreos,38,14,14,F,1
Anthony Robinson,32,14,13,M,1
Rocky Reid,28,14,12,M,0
Lisi Linares,36,14,11,F,1
Michelle Yi,23,14,10,F,1
Edgardo Rivera,28,14,9,M,1
Mookie Lee,25,14,8,M,1
Alex Angarita,28,14,7,M,1
Stacy Kimball,27,14,6,F,1
Boo Bernis,34,14,5,M,0
Yau-Man Chan,54,14,4,M,1
Cassandra Franklin,42,14,2,F,1
Dreamz Herd,25,14,2,M,1
Earl Cole,35,14,1,M,1
Chicken Morris,47,15,16,M,0
Ashley Massaro,28,15,15,F,0
Leslie Nease,38,15,14,F,0
Dave Cruser,37,15,13,M,0
Aaron Reisberger,32,15,12,M,0
Sherea Lloyd,26,15,11,F,1
Jaime Dugan,22,15,10,F,0
Jean-Robert Bellande,36,15,9,M,0
Frosti Zernow,20,15,8,M,1
James Clement,30,15,7,M,1
Erik Huffman,26,15,6,M,0
Peih-Gee Law,29,15,5,F,1
Denise Martin,40,15,4,F,0
Amanda Kimmel,23,15,3,F,0
Courtney Yates,26,15,2,F,0
Todd Herzog,22,15,1,M,0
Jon Dalton,33,16,20,M,0
Mary Sartain,29,16,19,F,0
Yau-Man Chan,55,16,18,M,1
Mikey Bortone,34,16,17,M,0
Joel Anderson,32,16,16,M,0
Jonathan Penner,45,16,15,M,0
Chet Welch,48,16,14,M,0
Kathy Sleckman,45,16,13,F,0
Tracy Hughes-Wolf,43,16,12,F,0
Ami Cusack,34,16,11,F,0
Eliza Orlins,25,16,10,F,0
Ozzy Lusth,26,16,9,M,1
Jason Siska,22,16,8,M,0
James Clement,30,16,7,M,1
Alexis Jones,24,16,6,F,0
Erik Reichenbach,22,16,5,M,0
Natalie Bolton,32,16,4,F,1
Cirie Fields,37,16,3,F,1
Amanda Kimmel,23,16,2,F,0
Parvati Shallow,25,16,1,F,0
Michelle Chase,24,17,18,F,0
Gillian Larson,61,17,17,F,0
Paloma Soto-Castillo,24,17,16,F,1
Jacquie Berg,25,17,15,F,0
GC Brown,26,17,14,M,1
Kelly Czarnecki,22,17,13,F,0
Ace Gordon,27,17,12,M,0
Dan Kay,32,17,11,M,0
Marcus Lehman,28,17,10,M,1
Charlie Herschel,29,17,9,M,0
Randy Bailey,49,17,8,M,0
Corinne Kaplan,29,17,7,F,0
Crystal Cox,29,17,6,F,1
Ken Hoang,22,17,5,M,1
Matty Whitmore,29,17,4,M,0
Sugar Kiper,29,17,3,F,0
Susie Smith,47,17,2,F,1
Bob Crowley,57,17,1,M,0
Carolina Eastwood,26,18,16,F,1
Candace Smith,31,18,15,F,1
Jerry Sims,49,18,14,M,1
Sandy Burgin,53,18,13,F,0
Spencer Duhm,19,18,12,M,0
Sydney Wheeler,24,18,11,F,0
Joe Dowdle,26,18,10,M,0
Brendan Synnott,30,18,9,M,0
Tyson Apostol,29,18,8,M,0
Sierra Reed,23,18,7,F,0
Debbie Beebe,46,18,6,F,0
Coach Wade,37,18,5,M,0
Taj Johnson-George,37,18,4,F,1
Erinn Lobdell,26,18,3,F,0
Stephen Fishbach,29,18,2,M,0
J.T. Thomas,24,18,1,M,0
Marisa Calihan,26,19,20,F,0
Mike Borassi,62,19,19,M,0
Betsy Bolan,48,19,18,F,0
Ben Browning,28,19,17,M,0
Yasmin Giles,33,19,16,F,1
Ashley Trainer,22,19,15,F,0
Russell Swan,42,19,14,M,1
Liz Kim,33,19,13,F,1
Erik Cardona,28,19,12,M,1
Kelly Sharbaugh,25,19,11,F,0
Laura Morett,39,19,10,F,0
John Fincher,25,19,9,M,1
Dave Ball,38,19,8,M,0
Monica Padilla,25,19,7,F,1
Shambo Waters,45,19,6,F,0
Jaison Robinson,28,19,5,M,1
Brett Clouser,23,19,4,M,0
Mick Trimming,33,19,3,M,0
Russell Hantz,36,19,2,M,0
Natalie White,26,19,1,F,0
Sugar Kiper,30,20,20,F,0
Stephenie LaGrossa,29,20,19,F,0
Randy Bailey,50,20,18,M,0
Cirie Fields,39,20,17,F,1
Tom Westman,45,20,16,M,0
Tyson Apostol,29,20,15,M,0
James Clement,32,20,14,M,1
Rob Mariano,33,20,13,M,0
Coach Wade,38,20,12,M,0
Courtney Yates,29,20,11,F,0
J.T. Thomas,25,20,10,M,0
Amanda Kimmel,25,20,9,F,0
Candice Cody,27,20,8,F,0
Danielle DiLorenzo,28,20,7,F,0
Rupert Boneham,45,20,6,M,0
Colby Donaldson,35,20,5,M,0
Jerri Manthey,38,20,4,F,0
Russell Hantz,36,20,3,M,0
Parvati Shallow,27,20,2,F,0
Sandra Diaz-Twine,35,20,1,F,1
Wendy DeSmidt-Kohlhoff,48,21,20,F,0
Shannon Elkins,30,21,19,M,0
Jimmy Johnson,67,21,18,M,0
Jimmy Tarantino,48,21,17,M,0
Tyrone Davis,42,21,16,M,1
Kelly Bruno,26,21,15,F,0
Yve Rojas,41,21,14,F,1
Jill Behm,43,21,13,F,0
Alina Wilson,23,21,12,F,0
Marty Piombo,48,21,11,M,0
Brenda Lowe,27,21,10,F,1
NaOnka Mixon,27,21,9,F,1
Kelly Shinn,20,21,8,F,0
Benry Henry,24,21,7,M,0
Jane Bright,56,21,6,F,0
Dan Lembo,63,21,5,M,0
Holly Hoffman,44,21,4,F,0
Sash Lenahan,30,21,3,M,1
Chase Rice,24,21,2,M,0
Fabio Birza,21,21,1,M,0
Francesca Hogi,36,22,18,F,1
Russell Hantz,38,22,17,M,0
Kristina Kell,46,22,16,F,0
Krista Klumpp,25,22,15,F,0
Stephanie Valencia,26,22,14,F,1
Sarita White,36,22,13,F,0
David Murphy,31,22,12,M,0
Julie Wolfe,50,22,11,F,0
Steve Wright,51,22,10,M,0
Ralph Kiser,45,22,9,M,0
Grant Mattos,29,22,8,M,0
Matt Elrod,22,22,7,M,0
Mike Chiesl,31,22,6,M,0
Andrea Boehlke,21,22,5,F,0
Ashley Underwood,25,22,4,F,0
Natalie Tenerelli,19,22,3,F,0
Phillip Sheppard,52,22,2,M,1
Rob Mariano,34,22,1,M,0
Semhar Tadesse,24,23,18,F,1
Mark Caruso,48,23,17,M,0
Stacey Powell,44,23,16,F,1
Elyse Umemoto,27,23,15,F,1
Mikayla Wingle,22,23,14,F,0
